student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score,cluster
1,Student_1,C,75.12633963665739,91.03482578797596,72.69599285794233,53.308089598244635,34.705812963673736,76.556963742673,1
2,Student_2,D,98.14256258823828,96.23022393453704,65.75766855731696,69.40657513345366,23.509930653905208,70.77123199213923,3
3,Student_3,A,84.25635757279075,65.64008298131533,83.90198411124787,83.50945024096299,47.18754705323076,70.47674586558013,2
4,Student_4,C,61.346445165063955,49.93164259307633,85.35249334723753,70.50308717576152,53.77949154774507,54.64703857262138,2
5,Student_5,C,56.52377992977463,74.19944285878233,56.53812137761906,39.61406332056205,52.723253941145586,53.38852611650261,3
6,Student_6,D,77.37878757259759,51.44569260495788,65.7048913980759,53.54916000888484,57.29887878952851,64.52861979541215,3
7,Student_7,A,50.19650189469037,100.0,60.03470744909921,66.6684884553012,49.86510315022302,66.45444965564033,0
8,Student_8,A,97.47188148781532,67.73070662165475,68.49976065593101,66.63801912213505,37.00911752674645,74.67409545122665,3
9,Student_9,C,87.69160181081931,57.69356897375783,74.16562030209639,100.0,57.59495796646783,72.02347401713821,2
10,Student_10,B,62.962365218429426,68.69360611729817,60.5035478030147,43.052217036818035,24.637236902370976,60.09182823695522,3
11,Student_11,C,44.30298206363683,38.05747420940607,65.78140186874687,77.10060635304575,31.4899292623128,54.175809725671655,3
12,Student_12,C,90.3080856124812,45.567719229786974,64.96042627918501,94.8040359499092,30.53699892865133,75.21713326381185,3
13,Student_13,C,68.28190232121074,89.00827815888852,77.07267329398944,100.0,61.200840887089655,71.0370435308874,0
14,Student_14,C,88.56724467960193,51.86211442057208,75.6934433703625,60.7208463826887,59.14182771210113,72.35422272282766,2
15,Student_15,D,46.08358511808449,44.0617803463612,67.78262446662747,76.8457301489636,52.309578555674925,51.436451723303165,0
16,Student_16,A,61.00937465569341,75.73305505054572,76.76820872139398,78.25568642957565,61.07894797817696,69.25413594960727,0
17,Student_17,D,70.07865549577275,88.71408309325994,69.53319915412735,71.51867116795924,31.810758263820176,73.18314052096306,0
18,Student_18,D,70.70470890647113,79.37906621330134,72.28344889673947,66.22078637769249,50.22892679791471,70.82453286720254,0
19,Student_19,D,63.249017927811344,84.92095371611633,91.73452090298537,75.84755701100083,43.12238357425254,70.00898775816205,0
20,Student_20,C,79.34274898521248,49.864098228610786,88.40461051790348,22.419570466045663,57.70323155827371,62.38331649213934,1
21,Student_21,B,53.98569355926108,36.56378666516312,62.004187630724026,80.27725082112737,43.271636511717034,49.11503612737601,3
22,Student_22,A,67.8643077246806,95.02667303910974,83.29732417879174,70.2712022659154,39.22585667384878,80.18809771297558,0
23,Student_23,B,71.80443447567848,58.54640322315728,83.11396554491591,63.99545185799122,53.11362777841485,67.54758856803683,2
24,Student_24,D,77.71658251088124,59.983339670899056,63.51736711247382,100.0,58.1425375078685,80.0681477765343,2
25,Student_25,D,80.67422317133335,91.56388283698116,83.1877764375486,55.851187661770055,34.97482207729797,71.57626924510176,1
26,Student_26,B,53.13036862243196,76.1246001880132,90.37931918412554,60.74463219682944,44.08386492971436,63.66914817290302,0
27,Student_27,B,46.98828743896567,74.11775544163216,63.77455193755586,100.0,29.123390495375208,61.08994605160199,0
28,Student_28,B,89.16515232847763,100.0,65.82497178985736,53.02289651270258,7.529084737605906,75.73655398836576,3
29,Student_29,D,74.98471017969388,52.12963539239714,85.17661466843502,58.0979249071423,48.00689447120593,63.363191646550234,2
30,Student_30,D,58.7727019516517,83.55680256162475,77.71495310825648,65.3535423782447,54.13358034381948,72.19468961762097,0
31,Student_31,A,93.26727963283784,66.14026249794169,80.51476275239523,83.13322067833188,48.93100213630088,77.4623491023832,2
32,Student_32,A,71.73511951439288,70.37184557726513,78.40589216400497,71.74044513235964,15.756574233684493,57.4950863999951,0
33,Student_33,D,87.6894577609574,95.56936852825064,78.90695920928144,44.73274375125927,39.73725854885288,71.7123322369857,1
34,Student_34,B,71.01277722115164,75.15671512579247,61.73527871688917,58.42096586371059,11.72478359923378,55.7736377690579,3
35,Student_35,B,100.0,75.76592158099265,85.47317706621448,57.067620202180194,65.54551661481277,81.1136925677128,1
36,Student_36,A,96.33011263664808,86.45014674619604,86.69589992427774,66.61002118598518,28.70918126822871,74.08811771371695,1
37,Student_37,D,66.2655377728139,57.70094540914229,72.70609255931973,75.66518585533693,63.83105414189845,72.81632094927687,2
38,Student_38,A,84.57356426431534,48.21580665321987,74.56523050186138,75.5277036059835,59.18804465526218,71.15488753588266,2
39,Student_39,A,79.68063924377721,44.10381611957933,59.68892497444278,36.03178842712876,31.491144711959073,54.4801337826762,3
40,Student_40,C,90.52947336298524,25.67286821247996,80.14254756017834,87.15093777609542,28.008225730983824,72.14359848880466,2
41,Student_41,C,55.52614809129843,100.0,80.72057441714144,72.54623922793922,50.25555324579507,77.71469218742887,0
42,Student_42,C,80.29077189997659,42.93583268556634,74.37808983000689,92.92157685669032,32.33513944225393,69.62663095695896,2
43,Student_43,B,85.87636730274382,60.57492752828456,86.24353359870503,75.9955698912321,46.53726963237311,71.64052263365137,2
44,Student_44,D,43.618907703653285,59.463734002221585,71.6592276902006,87.82381323924372,37.757586137896226,52.200466565523655,0
45,Student_45,D,52.25112231001337,71.14813395618202,80.646059258936,76.39781560610228,18.2826237830155,59.91489231462945,0
46,Student_46,D,39.411517333598496,81.31474425078594,64.80335661307885,92.23206361164948,11.542979713133114,57.68998016340183,0
47,Student_47,D,65.95889748333164,82.2094697671949,74.76447849125762,77.40051144832002,48.40026372741896,72.5756555321398,0
48,Student_48,C,80.76313383693943,53.33845122862123,73.25645742097164,66.23752556402772,36.576633805040615,65.13376301089811,3
